#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
132, 7.18603, 5.568, 87.9186, 39.1439, 6.4832, 5.9423, 90.2762, 65.9348, 4.51458, 174.958, 162.679, 6.97653, 72.0638, 2.05518, 16.1573
133, 7.37516, 5.48591, 99.941, 44.4644, 6.79323, 6.03579, 97.1079, 69.7908, 4.27305, 191.404, 176.324, 9.41441, 73.2227, 7.58261, 16.3027
134, 7.27189, 5.42111, 96.365, 42.4767, 6.89498, 6.13505, 97.7156, 67.9986, 4.46779, 189.001, 172.156, 6.87776, 72.6547, 9.96219, 15.0987
135, 7.0155, 5.347, 89.0025, 40.4168, 6.68502, 5.95512, 93.7367, 68.1271, 2.82519, 178.753, 163.18, 1.91885, 69.6332, 6.25267, 17.8509
136, 6.9144, 5.64396, 87.0561, 38.2841, 6.43766, 5.83585, 96.1927, 68.1675, 2.64252, 183.582, 168.529, 3.92747, 70.2746, 3.60659, 22.3115
137, 6.51487, 5.59889, 88.7929, 40.2002, 6.7567, 6.06428, 98.2984, 66.6363, 4.25977, 187.709, 173.127, 7.87294, 68.2555, 10.9055, 19.1375
138, 6.8905, 5.45692, 86.8822, 38.2039, 6.93618, 6.13041, 98.8145, 63.6922, 3.08094, 184.385, 169.484, 6.98366, 68.0639, 14.0513, 16.6993
139, 7.25217, 5.72938, 100.79, 46.8286, 6.68828, 6.26893, 101.149, 80.7093, 4.59218, 213.437, 196.343, 13.3733, 79.0325, 4.5305, 17.586
140, 6.66281, 5.80251, 87.5333, 34.9699, 6.57378, 6.19848, 93.5272, 59.8033, 4.14187, 174.458, 159.927, 6.79703, 71.9646, 5.86958, 15.693
141, 6.83101, 5.70919, 87.7897, 37.4497, 7.02153, 6.40762, 94.7996, 64.523, 4.89359, 184.669, 169.362, 9.94273, 70.7425, 8.37373, 15.6833
142, 7.37251, 5.79368, 96.2034, 49.1592, 6.79621, 6.49528, 95.7071, 76.0228, 5.28652, 199.898, 184.059, 11.9759, 74.8565, 4.70485, 16.1458
143, 7.36853, 5.94717, 106.242, 43.3867, 6.86746, 6.59547, 103.831, 70.8167, 5.21357, 203.083, 186.663, 11.5237, 74.7416, 12.6459, 16.4434
144, 7.62514, 6.16022, 99.4967, 44.6815, 6.96589, 6.67001, 103.386, 70.1825, 4.91098, 201.826, 184.937, 11.0807, 78.2186, 7.76399, 17.403
145, 7.2705, 6.01204, 95.7747, 41.7926, 6.86055, 6.51256, 105.038, 67.1678, 4.55, 195.245, 179.474, 7.50793, 78.7904, 8.73799, 17.5092
146, 6.79746, 6.16802, 88.0219, 32.5191, 6.63034, 6.37541, 93.8702, 61.5296, 3.87111, 174.75, 159.576, 4.65823, 71.4339, 7.26127, 15.175
147, 7.19799, 6.08716, 91.2593, 41.6185, 7.07178, 6.4937, 99.4633, 69.1666, 5.76897, 195.779, 179.603, 10.5846, 74.7401, 10.9973, 13.726
148, 7.45937, 5.98558, 93.1431, 39.9366, 7.1981, 6.57895, 95.8503, 63.0874, 5.08513, 184.216, 168.636, 9.56171, 71.9614, 10.304, 13.5849
149, 7.36622, 6.21075, 96.1641, 40.2417, 7.13004, 6.69439, 99.4816, 66.5214, 5.17667, 191.158, 175.448, 9.28351, 71.7767, 12.6934, 15.0116
150, 7.63459, 6.04919, 95.5822, 41.579, 7.1421, 6.75718, 101.753, 65.933, 5.0173, 194.585, 178.754, 10.7112, 77.0602, 10.1741, 14.5189
151, 7.44954, 6.3461, 94.2162, 45.0726, 6.98678, 6.7316, 100.297, 71.7542, 5.21864, 199.004, 182.162, 10.0615, 79.0857, 5.96725, 15.2445
152, 7.36466, 6.27027, 90.7078, 37.6978, 7.12301, 6.71109, 96.4512, 64.386, 4.97713, 185.046, 168.96, 8.2239, 75.0468, 8.0152, 13.3892
153, 7.13297, 6.0446, 93.4065, 41.3426, 6.89325, 6.6575, 99.8184, 64.9448, 4.76675, 187.783, 171.331, 6.90256, 74.4074, 11.0849, 14.326
154, 7.21723, 6.33681, 91.1382, 44.1645, 6.99898, 6.69301, 97.7015, 68.817, 4.86039, 192.811, 176.361, 9.37644, 75.7427, 7.58943, 14.3695
155, 7.00808, 6.26125, 92.5009, 40.7939, 7.11611, 6.78503, 97.9007, 68.0871, 4.84071, 191.636, 175.225, 9.24883, 74.1067, 9.62425, 14.1697
156, 6.61098, 6.13748, 86.2372, 32.4539, 7.01827, 6.67919, 91.6641, 60.0261, 4.05771, 169.262, 154.537, 3.67256, 67.9652, 9.01584, 14.683
157, 5.62334, 5.80672, 74.5702, 27.2514, 6.68676, 6.45106, 79.855, 43.0667, 3.86992, 134.695, 122.088, 0.0165277, 54.0704, 12.9254, 12.8592
158, 6.5987, 5.88616, 99.1234, 36.2915, 6.92541, 6.7602, 98.5637, 60.7875, 4.75044, 184.674, 169.884, 9.91501, 63.4378, 17.7406, 17.3854
159, 7.35418, 6.1404, 102.438, 36.2604, 7.07166, 6.93294, 107.548, 66.5366, 4.68027, 203.467, 186.288, 11.4949, 75.2673, 13.6982, 18.5821
160, 6.57597, 6.03818, 81.224, 29.378, 6.62491, 6.64081, 89.9345, 54.4428, 3.31177, 159.791, 144.764, 1.31385, 65.1789, 6.5249, 18.2307
161, 7.09294, 6.4569, 94.576, 35.9508, 7.05443, 6.93597, 97.675, 59.6477, 5.07727, 185.97, 169.349, 11.0474, 68.1702, 11.9224, 17.5824
162, 7.53449, 6.43859, 91.1417, 38.9172, 7.40322, 7.11786, 97.8752, 62.5354, 5.13901, 186.927, 170.146, 9.54915, 69.1948, 10.7377, 17.9427
