#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
325, 4.28062, 3.28567, 37.9377, 1.11529, 3.97004, 4.63539, 22.2015, 12.7761, 13.4876, 3.61232, 5.10149, -5.04544, 29.9831
326, 4.63593, 3.38287, 37.181, 5.89234, 4.05984, 4.76106, 26.4731, 10.4129, 13.64, 8.81625, 4.01687, -2.44239, 34.6494
327, 4.42231, 3.33369, 37.1143, 3.6829, 3.62661, 4.59542, 23.4316, 14.2106, 11.1365, 7.17564, 5.1195, -9.60587, 26.7012
328, 4.60762, 3.04606, 43.2298, 12.9984, 4.00648, 4.56776, 26.6303, 19.6492, 13.9889, 5.25269, 7.38873, -11.1875, 35.6879
329, 4.16647, 2.95946, 35.0748, 12.4846, 3.75403, 4.54598, 21.7827, 17.3711, 11.7674, 3.81387, 6.20143, -9.80057, 29.136
330, 4.08318, 3.28914, 38.0719, 11.0697, 4.24568, 4.68907, 22.0025, 10.6226, 13.8678, 4.48964, 3.64504, -0.854395, 32.7464
331, 4.4233, 3.22339, 40.6004, 4.17459, 4.16215, 4.69193, 28.3864, 11.095, 14.1009, 8.31025, 5.97523, -6.02183, 32.9416
332, 4.42657, 2.94631, 42.7312, 9.1476, 4.23714, 4.53246, 24.629, 16.55, 14.1792, 5.2383, 5.2115, -7.43008, 33.6525
333, 4.1766, 2.96006, 38.5106, 9.99261, 4.09095, 4.64996, 17.0939, 6.37816, 13.3642, 0.843356, 2.88629, 1.1925, 25.6723
334, 4.06363, 3.25497, 37.2637, 2.62835, 4.20843, 4.84548, 21.0783, 7.04114, 14.07, 4.18219, 2.82609, 3.33286, 32.1533
335, 4.55285, 2.97976, 36.6749, 0.141562, 4.35426, 4.89964, 29.2292, 11.3913, 15.4491, 9.06238, 4.71772, -2.45821, 36.9739
336, 4.04789, 2.84067, 35.1109, 2.78138, 3.51439, 4.48972, 23.0316, 10.0032, 10.0815, 4.78672, 8.16338, -15.3248, 17.0977
337, 3.78828, 2.86995, 39.0162, 3.70418, 4.03184, 4.65927, 26.7753, 14.717, 13.6298, 6.77741, 6.36803, -8.75776, 32.7239
338, 4.20661, 2.73504, 37.0169, 0.542187, 3.76815, 4.46597, 20.856, 14.1881, 11.4307, 3.97157, 5.4538, -8.28051, 26.3608
339, 3.43914, 2.59746, 31.677, 1.84799, 3.43064, 4.58736, 17.883, 10.6399, 8.35269, 6.12008, 3.41022, -1.96407, 26.8487
340, 4.12921, 2.47186, 32.9521, 13.9347, 3.35398, 4.52183, 19.6936, 16.0196, 9.34265, 4.8288, 5.52212, -9.10249, 26.1847
341, 3.98265, 2.59386, 29.3807, 3.23749, 3.08046, 4.41805, 24.2096, 15.0658, 8.81037, 8.75823, 6.64103, -13.5712, 25.0928
342, 3.64241, 2.41366, 30.2232, 11.1837, 2.96741, 4.24949, 23.0889, 22.4657, 8.60071, 5.78833, 8.6998, -20.8174, 24.0371
343, 3.24806, 2.72744, 30.4521, 10.2448, 3.25507, 4.33026, 19.092, 17.2536, 8.6856, 5.18028, 5.22613, -10.1207, 27.4414
344, 3.11221, 2.63366, 33.3566, 3.79208, 3.59325, 4.5575, 23.3278, 11.2973, 11.7974, 6.30136, 5.22899, -5.28027, 29.5061
345, 3.43535, 2.50231, 31.091, 8.04562, 3.23816, 4.3734, 17.7376, 12.9836, 9.98266, 1.58692, 6.16804, -12.4492, 17.6238
346, 3.44908, 2.43145, 33.0891, 3.2258, 3.56575, 4.46028, 16.3294, 6.46533, 11.436, 1.45326, 3.44013, 4.30771, 27.7076
347, 3.63237, 2.43333, 28.7411, -0.44445, 3.22276, 4.34978, 17.4798, 14.6828, 9.26564, 3.64583, 4.56833, -5.56366, 26.1351
348, 3.29843, 2.35176, 31.209, 15.397, 3.57486, 4.39175, 22.0698, 14.8922, 10.921, 3.74199, 7.40682, -10.5575, 26.9895
349, 3.24656, 2.62993, 34.3557, 3.28031, 3.58838, 4.51589, 20.1756, 9.10585, 10.6396, 3.71243, 5.82361, -4.48677, 25.2642
350, 3.26121, 2.55533, 33.325, 7.79644, 3.372, 4.43978, 23.199, 11.1426, 10.0278, 7.45053, 5.72072, -11.519, 21.3939
351, 3.58028, 2.32612, 33.3311, 17.9814, 3.58167, 4.35368, 19.39, 14.9116, 9.42519, 6.48137, 3.48344, -2.24327, 32.8326
352, 2.99541, 2.52347, 31.6488, 2.76959, 3.38956, 4.44233, 17.5189, 7.63793, 9.47917, 4.99053, 3.04926, -2.20583, 22.7498
353, 3.81464, 2.52141, 34.0844, 10.2919, 3.28003, 4.17073, 23.3443, 13.3625, 10.2677, 7.38667, 5.68994, -11.7129, 23.9719
354, 3.01845, 2.31235, 29.8426, 6.47455, 3.2737, 4.09085, 19.809, 11.0782, 8.94619, 4.76108, 6.10173, -13.469, 17.4989
355, 2.5278, 2.26513, 28.8598, -0.310147, 3.37074, 4.20931, 18.7862, 6.24097, 8.78549, 5.30518, 4.69555, -5.47452, 19.9176
356, 3.41265, 2.39979, 32.7435, 4.81816, 3.23151, 4.33464, 11.1117, 6.66868, 8.21374, 0.863713, 2.03425, 5.16783, 23.756
357, 3.64704, 2.71081, 32.0221, -4.08253, 3.51918, 4.60133, 15.6022, 5.62319, 9.11776, 3.80702, 2.67746, 4.34178, 26.6665
358, 3.27272, 2.82735, 35.0541, 2.71995, 3.46679, 4.56037, 19.9361, 7.18851, 9.74849, 5.75055, 4.43701, -2.49838, 24.2375
359, 2.58852, 2.92724, 28.4935, -11.2373, 3.1699, 4.54722, 18.8841, 4.96181, 7.83952, 7.58643, 3.45816, -0.802976, 22.9852
360, 2.52678, 2.77035, 26.351, -5.90004, 2.97188, 4.43378, 17.8868, 6.16571, 7.33948, 6.94223, 3.60508, -3.76573, 19.5624
361, 3.47446, 2.64396, 37.6918, 12.2556, 3.52696, 4.40383, 22.9928, 14.848, 10.3746, 7.02261, 5.59562, -9.63703, 28.4085
362, 3.63539, 2.73365, 33.7065, 9.61566, 3.51705, 4.35877, 24.0126, 11.9168, 11.3826, 5.69697, 6.93297, -13.6745, 22.0779
363, 3.16483, 2.6299, 31.6288, 15.8962, 3.09565, 4.44879, 17.9514, 2.52889, 7.65105, 6.4679, 3.83243, -2.30401, 18.3777
364, 2.84379, 2.65871, 34.3171, -6.37664, 3.19147, 4.20618, 24.3203, 7.64362, 9.38301, 9.25038, 5.68692, -12.1438, 18.8204
365, 3.03941, 2.63859, 35.8442, 4.3602, 3.35004, 4.19666, 19.3767, 13.1552, 10.414, 4.66794, 4.29476, -3.8496, 28.6535
